Band_Album,Rating,ratings,reviews,lists,comments,id
Brand New_Science Fiction,4.5,102,0,0,1,17
Brand New_Science Fiction,5,14,0,0,0,514
Brand New_Science Fiction,3.5,288,0,0,0,1442
Brand New_Science Fiction,5,366,0,2,0,2230
Brand New_Science Fiction,5,193,26,0,70,2105
Brand New_Science Fiction,4.5,450,0,0,0,2254
Brand New_Science Fiction,4,101,0,0,0,1529
Brand New_Science Fiction,4.5,9,0,0,8,814
Brand New_Science Fiction,4,205,0,0,0,2505
Brand New_Science Fiction,4.5,617,0,11,144,1182
Brand New_Science Fiction,5,530,0,0,0,1434
Brand New_Science Fiction,4.5,21,0,0,0,2341
Brand New_Science Fiction,3,256,0,0,0,2093
Brand New_Science Fiction,4,34,0,0,0,713
Brand New_Science Fiction,4,346,3,3,691,2447
Brand New_Science Fiction,5,129,0,0,0,702
Brand New_Science Fiction,4,50,0,0,0,110
Brand New_Science Fiction,4,172,0,0,4,1107
Brand New_Science Fiction,4,544,5,14,6908,1041
Brand New_Science Fiction,4.5,20,1,3,1,2638
Brand New_Science Fiction,4.5,8,0,0,0,993
Brand New_Science Fiction,5,188,0,0,0,1772
Brand New_Science Fiction,2.5,2757,94,67,16587,2509
Brand New_Science Fiction,4.5,1527,0,4,945,2412
Brand New_Science Fiction,3.5,2696,49,69,14088,2122
Brand New_Science Fiction,4,89,0,0,0,1477
Brand New_Science Fiction,2.5,133,0,0,0,1438
Brand New_Science Fiction,5,88,0,0,0,1012
Brand New_Science Fiction,4.5,496,0,1,6580,834
Brand New_Science Fiction,3,111,0,0,0,1789
Brand New_Science Fiction,5,34,0,0,0,224
Brand New_Science Fiction,4.5,302,0,7,121,800
Brand New_Science Fiction,3.5,639,0,0,0,1664
Brand New_Science Fiction,4,261,0,0,12,1065
Brand New_Science Fiction,4,29,0,0,0,436
Brand New_Science Fiction,3.5,655,0,0,0,1746
Brand New_Science Fiction,5,247,0,0,0,385
Brand New_Science Fiction,4.5,626,0,4,117,2462
Brand New_Science Fiction,5,1,0,0,0,2216
Brand New_Science Fiction,5,43,1,0,0,511
Brand New_Science Fiction,2.5,243,0,0,6,865
Brand New_Science Fiction,4,1531,0,25,222,1832
Brand New_Science Fiction,5,25,0,0,0,1399
Brand New_Science Fiction,3.5,1252,7,28,308,2473
Brand New_Science Fiction,3.5,2105,0,4,7,2002
Brand New_Science Fiction,4.5,359,0,1,11,1064
Brand New_Science Fiction,3.5,603,0,0,3,2622
Brand New_Science Fiction,4,552,1,1,16,273
Brand New_Science Fiction,3,188,0,0,56,518
Brand New_Science Fiction,3.5,605,0,2,117,1703
Brand New_Science Fiction,4.5,559,4,30,3047,2661
Brand New_Science Fiction,5,39,0,0,0,1731
Brand New_Science Fiction,1.5,150,0,0,4,1183
Brand New_Science Fiction,4.5,606,0,0,0,1221
Brand New_Science Fiction,4,241,0,8,13,2060
Brand New_Science Fiction,4,79,0,0,0,1074
Brand New_Science Fiction,2.5,100,0,0,1,1821
Brand New_Science Fiction,4.5,326,0,0,33,1141
Brand New_Science Fiction,4,342,2,0,1,369
Brand New_Science Fiction,4.5,889,0,0,0,2089
Brand New_Science Fiction,5,795,0,0,0,1768
Brand New_Science Fiction,4,288,0,0,0,1974
Brand New_Science Fiction,5,46,0,0,0,1778
Brand New_Science Fiction,3.5,204,0,1,6,2368
Brand New_Science Fiction,4.5,141,0,0,14,165
Brand New_Science Fiction,4,66,0,0,2,1155
Brand New_Science Fiction,4,459,0,1,1,517
Brand New_Science Fiction,4.5,44,0,0,2,1695
Brand New_Science Fiction,3.5,1873,79,33,3599,1987
Brand New_Science Fiction,4.5,152,0,0,0,532
Brand New_Science Fiction,4.5,884,0,1,33,2478
Brand New_Science Fiction,4.5,44,0,0,0,1896
Brand New_Science Fiction,4.5,1009,29,33,7732,1504
Brand New_Science Fiction,4,734,0,0,0,854
Brand New_Science Fiction,4,498,24,6,1278,1157
Brand New_Science Fiction,4.5,40,0,3,26,1909
Brand New_Science Fiction,4,111,0,0,0,1886
Brand New_Science Fiction,5,564,0,0,0,358
Brand New_Science Fiction,5,97,0,0,0,1773
Brand New_Science Fiction,3,150,1,0,218,1022
Brand New_Science Fiction,3.5,120,0,0,0,2015
Brand New_Science Fiction,3.5,1100,0,0,31,586
Brand New_Science Fiction,4,1594,0,0,13,873
Brand New_Science Fiction,4,1763,0,9,261,2510
Brand New_Science Fiction,4.5,15,0,0,0,335
Brand New_Science Fiction,5,1250,20,19,123,1315
Brand New_Science Fiction,5,76,0,0,1,1757
Brand New_Science Fiction,4,532,0,0,11,1378
Brand New_Science Fiction,4.5,267,0,0,0,1510
Brand New_Science Fiction,5,14,0,0,0,80
Brand New_Science Fiction,1,5,0,0,5,2321
Brand New_Science Fiction,4.5,173,0,0,3,1424
Brand New_Science Fiction,4,647,0,0,0,1331
Brand New_Science Fiction,4,1877,48,3,407,614
Brand New_Science Fiction,4.5,1231,0,0,6,902
Brand New_Science Fiction,3,2010,3,34,4788,1497
Brand New_Science Fiction,5,12,0,0,4,615
Brand New_Science Fiction,4.5,1813,0,36,198,2236
Brand New_Science Fiction,4,7,0,0,0,841
Brand New_Science Fiction,4,835,0,0,0,1344
Brand New_Science Fiction,4,236,0,0,4,1087
Brand New_Science Fiction,4,336,0,0,0,2550
Brand New_Science Fiction,3.5,602,0,0,0,1230
Brand New_Science Fiction,1,258,0,0,25,1048
Brand New_Science Fiction,3.5,400,7,0,81,2000
Brand New_Science Fiction,4.5,514,0,0,4,1701
Brand New_Science Fiction,4,913,0,4,144,808
Brand New_Science Fiction,4.5,483,0,1,50,651
Brand New_Science Fiction,3.5,803,8,120,2667,376
Brand New_Science Fiction,4,983,0,0,0,1662
Brand New_Science Fiction,5,347,11,88,6004,439
Brand New_Science Fiction,4.5,749,0,0,193,463
Brand New_Science Fiction,4,13,0,0,0,838
Brand New_Science Fiction,5,188,0,0,25,1452
Brand New_Science Fiction,3,111,0,0,1,2268
Brand New_Science Fiction,4,213,0,0,0,1595
Brand New_Science Fiction,5,25,0,0,0,1665
Brand New_Science Fiction,4.5,337,1,1,2,152
Brand New_Science Fiction,4,147,0,0,3,1271
Brand New_Science Fiction,4.5,319,2,1,0,729
Brand New_Science Fiction,4,910,0,0,220,2667
Brand New_Science Fiction,4.5,241,4,0,1292,58
Brand New_Science Fiction,4,777,0,0,0,2640
Brand New_Science Fiction,4.5,1415,0,3,250,2483
Brand New_Science Fiction,4,2,0,0,0,19
Brand New_Science Fiction,3,189,0,0,9,2307
Brand New_Science Fiction,4.5,418,1,96,587,256
Brand New_Science Fiction,3.5,624,9,0,96,113
Brand New_Science Fiction,4,1685,3,0,89,1306
Brand New_Science Fiction,4,3345,0,26,9342,988
Brand New_Science Fiction,4.5,750,1,3,78,920
Brand New_Science Fiction,5,1,0,0,0,2320
Brand New_Science Fiction,3.5,127,0,0,0,811
Brand New_Science Fiction,5,237,0,0,8,2555
Brand New_Science Fiction,4,770,3,3,41,2322
Brand New_Science Fiction,4.5,249,0,0,3,1941
Brand New_Science Fiction,4.5,331,0,3,19,629
Brand New_Science Fiction,4.5,15,0,0,0,739
Brand New_Science Fiction,4,689,0,20,1024,2076
Brand New_Science Fiction,4.5,523,0,6,167,1611
Brand New_Science Fiction,4,293,0,0,7,1484
Brand New_Science Fiction,2.5,152,1,7,87,367
Brand New_Science Fiction,4.5,417,0,0,0,2104
Brand New_Science Fiction,3.5,4677,0,0,1,2725
Brand New_Science Fiction,5,266,0,0,0,1045
Brand New_Science Fiction,4.5,81,0,0,7,305
Brand New_Science Fiction,2.5,2440,0,0,0,2703
Brand New_Science Fiction,4.5,134,0,0,0,855
Brand New_Science Fiction,5,143,0,0,2,288
Brand New_Science Fiction,3.5,1346,0,0,0,2115
Brand New_Science Fiction,4,436,0,0,0,1766
Brand New_Science Fiction,2,2669,0,0,10,2333
Brand New_Science Fiction,4,62,0,0,0,2683
Brand New_Science Fiction,3,1444,20,3,701,2600
Brand New_Science Fiction,4.5,246,3,119,1945,1128
Brand New_Science Fiction,3.5,167,0,0,0,2613
Brand New_Science Fiction,3.5,141,0,0,0,1431
Brand New_Science Fiction,3.5,630,0,13,40,1613
Brand New_Science Fiction,2.5,1076,0,0,197,2444
Brand New_Science Fiction,4.5,717,1,0,13,2358
Brand New_Science Fiction,4.5,1869,0,0,2,388
Brand New_Science Fiction,4.5,1425,2,0,28,2605
Brand New_Science Fiction,3.5,78,0,0,169,364
Brand New_Science Fiction,4,210,0,0,0,2440
Brand New_Science Fiction,4,1507,0,44,1224,882
Brand New_Science Fiction,4,94,0,0,0,840
Brand New_Science Fiction,4.5,935,0,7,323,1583
Brand New_Science Fiction,5,72,0,0,0,486
Brand New_Science Fiction,4,438,0,0,0,1506
Brand New_Science Fiction,3.5,147,0,0,0,2131
Brand New_Science Fiction,4.5,119,0,0,0,1960
Brand New_Science Fiction,2.5,127,0,0,0,1194
Brand New_Science Fiction,4,1447,4,15,608,2514
Brand New_Science Fiction,5,170,0,0,0,2694
Brand New_Science Fiction,4.5,133,0,0,1,2542
